lat1,lon1,lat2,lon2,street,speed,signed,region,distance
40.81306719400004,-73.92294305899999,40.81332353000005,-73.92287691099996,alexander avenue,25,no,Bronx,0.01802481957642221
40.82754182700006,-73.91638113699997,40.82781652700004,-73.91722333199993,bonner place,25,no,Bronx,0.04804136395564868
40.86886004100006,-73.90722353899997,40.86885694200004,-73.907300552,bailey avenue,25,no,Bronx,0.004039794940661777
40.808913321000034,-73.89487076899997,40.81168957500006,-73.89560144699995,barry street,25,no,Bronx,0.19536377210998454
40.81168957500006,-73.89560144699995,40.81207390900005,-73.89578238299998,barry street,25,no,Bronx,0.028165842481045037
40.85011207400004,-73.899527102,40.849964760000034,-73.89875181499997,alden place,25,no,Bronx,0.04187562337001837
40.876400084000075,-73.90097053899994,40.87705486200008,-73.90021502199994,armand place,25,no,Bronx,0.06006114890553076
40.88040950900006,-73.90050246499997,40.88063869200005,-73.90023137799993,bailey place,25,no,Bronx,0.021252724156843657
40.873390589000046,-73.889373059,40.87277332300005,-73.88863329399999,bedford park boulevard,25,no,Bronx,0.05758195324862641
40.85953712400004,-73.88726579099996,40.860124091000046,-73.88673257199997,bathgate avenue,25,no,Bronx,0.04920240103664099
40.858183282000034,-73.88338978399997,40.85876369400006,-73.88290089999998,belmont avenue,25,no,Bronx,0.04754041098335788
40.86737041200007,-73.88224609999997,40.86779526600003,-73.88146673499995,botanical square,25,no,Bronx,0.05026160865623003
40.88063869200005,-73.90023137799993,40.88076128700004,-73.90047502999994,bailey place,25,no,Bronx,0.015310263782754838
40.91021054700008,-73.89660756099994,40.91130717700002,-73.89663211099996,broadway,25,no,Bronx,0.07568345723950003
40.81273562100006,-73.86342652899998,40.812974336000025,-73.86385475999998,bronx river avenue,25,no,Bronx,0.027845448979036583
40.809018835000074,-73.85770393599995,40.80806629700004,-73.85751658699995,b street,25,no,Bronx,0.06645828528514956
40.80832815100007,-73.85508092999999,40.808199486000035,-73.85603543599996,banes court,25,no,Bronx,0.05082655094541153
40.81005852900006,-73.85019469599996,40.811231478000025,-73.85043289899994,betts avenue,25,no,Bronx,0.08189532745350135
40.81434424300004,-73.85092799899995,40.81440483100005,-73.85114612899997,barrett avenue,25,no,Bronx,0.012175864319062254
40.84143423800003,-73.86685627999998,40.84247456200006,-73.86516780999995,baker avenue,25,no,Bronx,0.11394033271953785
40.837873907000066,-73.86355692599993,40.837936468000066,-73.86292251199995,archer street,20,yes,Bronx,0.033526852740906964
40.84750933400005,-73.86313681099996,40.847593403000076,-73.86272614499995,barnett place,25,no,Bronx,0.02228689901124941
40.85549206300004,-73.86981717599997,40.85558501700007,-73.86986101699995,bronx park east,25,yes,Bronx,0.006813069543492266
40.854375468000065,-73.86870220599997,40.85662183800008,-73.86863296999995,bolton street,25,no,Bronx,0.15505087411119656
40.86576260400005,-73.83463657099999,40.86603573700007,-73.83380644899995,allerton avenue,25,no,Bronx,0.047394589992314835
40.88429533900006,-73.86605372699995,40.88449613300003,-73.86566135099997,bronx boulevard,25,no,Bronx,0.024783788096339274
40.891530714000055,-73.85505115499996,40.89193848000008,-73.85515033299998,barnes avenue,25,no,Bronx,0.028612910218683656
40.90835879300005,-73.85380608699995,40.90804422700006,-73.85305111899999,abbot street,25,no,Bronx,0.04509217568289032
40.82216683100006,-73.81155958299995,40.821374063000064,-73.81104968499993,13 avenue,25,no,Bronx,0.0608845800070789
40.822304951000035,-73.81114212299997,40.82152152500004,-73.81064698399994,12 avenue,25,no,Bronx,0.05996713938443805
40.82470190500004,-73.81057068399997,40.82400183700002,-73.81251389299996,1 avenue,25,no,Bronx,0.11273312481311833
40.82440528100005,-73.81023666799996,40.823504590000034,-73.81232517699993,3 avenue,25,no,Bronx,0.12588736080488366
40.81461360100008,-73.80917826299998,40.81440983400006,-73.80976514499997,aster place,25,no,Bronx,0.03382815751535352
40.81891640200007,-73.80712172099999,40.82071509800004,-73.80800924299996,blair avenue,25,no,Bronx,0.1325498284148412
40.82172478700004,-73.80853231999998,40.82105270700004,-73.80820036999995,blair avenue,25,no,Bronx,0.04953295933899432
40.82500342600008,-73.80926971099996,40.82490798000004,-73.80944181399997,2 avenue,25,no,Bronx,0.01116952821116212
40.80989004700007,-73.80355880599996,40.81007684400004,-73.80304955299994,alan place,25,no,Bronx,0.029648160851312076
40.82613955400007,-73.82808674399995,40.826550441000045,-73.82844888499993,brinsmade avenue,25,no,Bronx,0.034120267538692656
40.83616060500003,-73.82803451599996,40.835625897000064,-73.82767641499998,b street,25,no,Bronx,0.0413956450139901
40.88464171800007,-73.82914850099995,40.884843035000074,-73.82851337899994,allen place,25,no,Bronx,0.03604584900533935
40.838241082000025,-73.78312651999994,40.83851785300004,-73.78171060999995,belden street,25,no,Bronx,0.07662145778922982
40.85655932800007,-73.79136391799993,40.85673865900003,-73.79049296799997,bridge street,25,no,Bronx,0.04727920350281371
40.822440683000025,-73.90945903299995,40.82318693700007,-73.90922349699997,3 avenue,25,no,Bronx,0.05295364905698136
40.80969553200004,-73.91448769799996,40.80935401100004,-73.91351372099996,beech terrace,25,no,Bronx,0.05624053876178812
40.89491264100008,-73.91111768599995,40.895129353000065,-73.91089789399994,alderbrook road,20,yes,Bronx,0.018869984199661776
40.81387748600008,-73.81170221799994,40.81361606100006,-73.81257944099997,aster place,25,no,Bronx,0.049400753423065324
40.81425629000006,-73.81189999599997,40.81390500800006,-73.81310409499997,balsam place,25,no,Bronx,0.06761979099294768
40.810147011000026,-73.80386292299994,40.810463138000046,-73.80313247499998,bevy place,25,no,Bronx,0.044073409363140865
