Y,M,D,HH,MM,BOROUGH_x,LATITUDE,LONGITUDE,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL
2019,9,21,21,15,BROOKLYN,40.682,-73.96867,CLERMONT AVENUE,ATLANTIC AVENUE,,0,0,25.0,0.0,0.0,0.0,3.0,166.0,BROOKLYN,213.0
2019,9,21,17,0,STATEN ISLAND,40.632675,-74.116844,CARY AVENUE,BROADWAY,,0,0,26.7,0.0,0.0,0.0,0.7,180.0,MANHATTAN,84.0
2019,9,21,17,0,,40.726376,-73.76624,GRAND CENTRAL PARKWAY,FRANCIS LEWIS BOULEVARD,,2,0,26.7,0.0,0.0,0.0,0.7,180.0,QUEENS,137.0
2019,9,21,17,45,QUEENS,40.676155,-73.75566,CARSON STREET,SPRINGFIELD BOULEVARD,,0,0,26.7,0.0,0.0,0.0,0.7,180.0,QUEENS,45.5
2019,9,21,15,45,BROOKLYN,40.69313,-73.96984,VANDERBILT AVENUE,MYRTLE AVENUE,,0,0,22.0,0.0,0.0,0.0,3.6,360.0,QUEENS,79.5
2019,9,21,0,15,,40.637997,-74.02136,4 AVENUE,65 STREET,,1,0,20.9,0.0,0.0,0.0,7.8,248.0,BROOKLYN,78.5
2019,9,21,0,0,QUEENS,40.757515,-73.81857,BEECH AVENUE,PARSONS BOULEVARD,,0,0,20.9,0.0,0.0,0.0,7.8,248.0,QUEENS,31.5
2019,9,21,7,30,QUEENS,40.72898,-73.882385,57 AVENUE,80 STREET,,1,0,16.8,0.0,0.0,0.0,9.1,263.0,QUEENS,60.25
2019,9,22,11,0,QUEENS,40.763126,-73.83125,FARRINGTON STREET,NORTHERN BOULEVARD,,0,0,16.4,0.0,0.0,0.0,4.5,256.0,QUEENS,182.75
2019,9,22,13,45,QUEENS,40.725204,-73.90618,56 AVENUE,60 STREET,,0,0,18.5,0.0,0.0,1.0,3.4,238.0,BROOKLYN,65.0
2019,9,22,13,30,BROOKLYN,40.629166,-73.947334,AVENUE I,NOSTRAND AVENUE,,0,0,18.5,0.0,0.0,1.0,3.4,238.0,BROOKLYN,129.0
2019,9,22,13,30,BROOKLYN,40.629166,-73.947334,AVENUE I,NOSTRAND AVENUE,,0,0,18.5,0.0,0.0,1.0,3.4,238.0,BROOKLYN,129.0
2019,9,22,14,0,QUEENS,40.739925,-73.90454,47 AVENUE,60 STREET,,0,0,20.4,0.0,0.0,1.0,5.2,192.0,BROOKLYN,72.5
2019,9,22,14,0,BROOKLYN,40.67146,-73.99103,3 AVENUE,9 STREET,,0,0,20.4,0.0,0.0,1.0,5.2,192.0,BROOKLYN,77.5
2019,9,22,14,45,,40.687977,-73.99974,BALTIC STREET,HICKS STREET,,0,0,20.4,0.0,0.0,1.0,5.2,192.0,BROOKLYN,61.0
2019,9,22,0,15,MANHATTAN,40.74715,-73.985504,WEST 32 STREET,5 AVENUE,,0,0,21.5,0.0,0.0,0.0,7.4,166.0,BROOKLYN,39.0
